age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,year
42.0,management,divorced,tertiary,no,16.0,no,no,cellular,19.0,11,140.0,3.0,-1.0,0.0,unknown,no,2022
44.0,services,single,secondary,no,106.0,no,no,,12.0,6,109.0,2.0,,0.0,unknown,no,2022
44.0,entrepreneur,married,secondary,no,93.0,no,no,cellular,7.0,7,125.0,2.0,-1.0,0.0,unknown,no,2022
26.0,housemaid,married,tertiary,no,543.0,no,no,cellular,30.0,1,169.0,3.0,-1.0,0.0,unknown,no,2022
41.0,management,married,tertiary,no,5883.0,no,no,cellular,20.0,11,182.0,2.0,-1.0,0.0,unknown,no,2022
55.0,blue-collar,married,primary,no,627.0,yes,no,,5.0,5,247.0,1.0,-1.0,0.0,unknown,no,2022
67.0,retired,married,unknown,no,696.0,no,no,telephone,17.0,8,119.0,1.0,105.0,2.0,failure,no,2022
56.0,self-employed,married,secondary,no,784.0,no,yes,cellular,30.0,7,149.0,2.0,-1.0,0.0,unknown,no,2022
53.0,admin.,married,secondary,no,105.0,no,yes,cellular,21.0,8,74.0,2.0,-1.0,0.0,unknown,no,2022
68.0,retired,divorced,secondary,no,4189.0,no,no,telephone,14.0,7,897.0,2.0,-1.0,0.0,unknown,yes,2022
31.0,technician,married,secondary,no,171.0,no,no,cellular,27.0,8,81.0,3.0,-1.0,0.0,unknown,no,2022
59.0,management,married,secondary,no,42.0,no,no,cellular,21.0,11,40.0,1.0,-1.0,0.0,unknown,no,2022
32.0,management,single,tertiary,no,2536.0,yes,no,cellular,26.0,8,958.0,6.0,-1.0,0.0,unknown,yes,2022
49.0,technician,married,tertiary,no,1235.0,no,no,cellular,13.0,8,354.0,3.0,-1.0,0.0,unknown,yes,2022
42.0,admin.,divorced,secondary,no,1811.0,yes,no,,14.0,5,150.0,1.0,-1.0,0.0,unknown,no,2022
78.0,retired,divorced,primary,no,229.0,no,no,telephone,22.0,10,97.0,1.0,-1.0,0.0,unknown,yes,2022
32.0,blue-collar,married,secondary,no,2089.0,yes,no,cellular,14.0,11,132.0,1.0,-1.0,0.0,unknown,yes,2022
33.0,management,married,secondary,no,3935.0,yes,no,cellular,6.0,5,765.0,1.0,342.0,2.0,failure,yes,2022
23.0,services,single,tertiary,no,363.0,yes,no,,30.0,5,16.0,18.0,-1.0,0.0,unknown,no,2022
38.0,management,single,tertiary,no,11971.0,yes,no,,17.0,11,609.0,2.0,101.0,3.0,failure,no,2022
36.0,management,single,tertiary,no,553.0,no,no,cellular,11.0,8,106.0,2.0,-1.0,0.0,unknown,no,2022
52.0,blue-collar,married,secondary,no,1117.0,yes,no,cellular,13.0,5,365.0,1.0,-1.0,0.0,unknown,no,2022
32.0,technician,married,tertiary,no,396.0,yes,no,cellular,13.0,5,205.0,3.0,-1.0,0.0,unknown,no,2022
32.0,technician,single,tertiary,no,2204.0,yes,no,cellular,21.0,11,11.0,4.0,-1.0,0.0,unknown,no,2022
34.0,management,single,tertiary,no,872.0,yes,no,,7.0,5,105.0,2.0,-1.0,0.0,unknown,no,2022
55.0,blue-collar,married,primary,no,145.0,no,no,telephone,2.0,2,59.0,3.0,5.0,2.0,other,no,2022
26.0,blue-collar,married,primary,no,0.0,yes,no,,21.0,5,425.0,1.0,-1.0,0.0,unknown,no,2022
32.0,entrepreneur,single,primary,yes,-849.0,yes,yes,cellular,4.0,2,204.0,1.0,-1.0,0.0,unknown,no,2022
61.0,admin.,married,unknown,no,4629.0,yes,no,cellular,27.0,1,181.0,1.0,92.0,1.0,success,yes,2022
45.0,blue-collar,divorced,primary,no,844.0,no,no,,5.0,6,1018.0,3.0,-1.0,0.0,unknown,yes,2022
37.0,technician,single,secondary,no,228.0,yes,no,cellular,20.0,8,1740.0,2.0,-1.0,0.0,unknown,no,2022
38.0,technician,single,secondary,no,50.0,no,no,cellular,29.0,8,98.0,2.0,-1.0,0.0,unknown,no,2022
34.0,technician,married,tertiary,no,1539.0,yes,no,cellular,15.0,6,441.0,1.0,56.0,1.0,other,yes,2022
53.0,blue-collar,married,secondary,no,2231.0,yes,no,cellular,14.0,7,272.0,3.0,-1.0,0.0,unknown,no,2022
48.0,admin.,married,secondary,no,3064.0,yes,no,telephone,15.0,7,159.0,2.0,-1.0,0.0,unknown,no,2022
57.0,management,married,secondary,no,82.0,no,yes,telephone,4.0,2,140.0,1.0,-1.0,0.0,unknown,no,2022
33.0,self-employed,single,tertiary,no,2155.0,no,no,cellular,17.0,11,295.0,1.0,-1.0,0.0,unknown,no,2022
36.0,retired,single,secondary,no,101.0,yes,yes,,26.0,5,314.0,1.0,-1.0,0.0,unknown,no,2022
54.0,technician,divorced,secondary,no,784.0,yes,yes,,15.0,5,579.0,1.0,-1.0,0.0,unknown,no,2022
41.0,blue-collar,married,primary,no,-516.0,no,yes,telephone,8.0,7,554.0,3.0,-1.0,0.0,unknown,no,2022
63.0,retired,married,secondary,no,415.0,yes,no,cellular,7.0,10,323.0,1.0,-1.0,0.0,unknown,no,2022
48.0,management,married,tertiary,no,5887.0,no,no,cellular,13.0,8,227.0,2.0,-1.0,0.0,unknown,no,2022
48.0,services,married,secondary,no,1355.0,no,no,cellular,4.0,7,134.0,2.0,-1.0,0.0,unknown,no,2022
56.0,admin.,married,secondary,no,16873.0,no,no,cellular,7.0,10,223.0,1.0,-1.0,0.0,unknown,no,2022
51.0,blue-collar,divorced,secondary,no,203.0,yes,no,cellular,8.0,5,134.0,1.0,170.0,5.0,failure,no,2022
31.0,services,married,secondary,no,338.0,yes,no,cellular,28.0,1,155.0,1.0,-1.0,0.0,unknown,no,2022
29.0,technician,married,secondary,no,444.0,yes,no,cellular,21.0,7,130.0,4.0,-1.0,0.0,unknown,no,2022
41.0,management,married,secondary,no,0.0,no,yes,cellular,7.0,7,630.0,3.0,-1.0,0.0,unknown,no,2022
32.0,technician,single,tertiary,no,360.0,no,no,cellular,19.0,11,164.0,2.0,-1.0,0.0,unknown,no,2022
37.0,management,married,tertiary,no,0.0,no,no,cellular,16.0,7,268.0,2.0,182.0,3.0,success,yes,2022
42.0,entrepreneur,divorced,tertiary,yes,2.0,yes,no,,5.0,5,380.0,1.0,-1.0,0.0,unknown,no,2022
31.0,management,single,tertiary,no,6248.0,yes,no,,9.0,5,154.0,2.0,-1.0,0.0,unknown,no,2022
41.0,services,married,tertiary,no,412.0,yes,no,,3.0,6,154.0,5.0,-1.0,0.0,unknown,no,2022
56.0,retired,married,secondary,no,344.0,yes,no,,15.0,5,221.0,1.0,-1.0,0.0,unknown,no,2022
54.0,management,divorced,tertiary,no,3222.0,no,no,cellular,14.0,8,67.0,2.0,-1.0,0.0,unknown,no,2022
41.0,blue-collar,divorced,secondary,no,174.0,yes,no,cellular,14.0,5,367.0,2.0,297.0,1.0,other,no,2022
40.0,technician,single,secondary,no,591.0,no,yes,cellular,14.0,8,87.0,6.0,-1.0,0.0,unknown,no,2022
50.0,blue-collar,divorced,primary,no,388.0,no,no,cellular,5.0,2,701.0,1.0,-1.0,0.0,unknown,no,2022
40.0,unemployed,married,secondary,no,219.0,yes,no,cellular,17.0,11,204.0,2.0,196.0,1.0,failure,no,2022
27.0,admin.,divorced,secondary,no,451.0,yes,no,cellular,16.0,7,652.0,1.0,-1.0,0.0,unknown,yes,2022
60.0,retired,married,primary,no,5.0,no,no,cellular,26.0,8,63.0,2.0,-1.0,0.0,unknown,no,2022
28.0,admin.,single,secondary,no,177.0,yes,yes,cellular,6.0,5,150.0,1.0,-1.0,0.0,unknown,no,2022
52.0,services,married,secondary,no,657.0,no,no,telephone,7.0,7,398.0,2.0,460.0,2.0,failure,yes,2022
37.0,management,married,tertiary,no,1315.0,no,no,cellular,30.0,6,224.0,1.0,-1.0,0.0,unknown,yes,2022
51.0,blue-collar,married,primary,no,1466.0,yes,no,,7.0,5,406.0,2.0,-1.0,0.0,unknown,no,2022
41.0,technician,single,secondary,no,879.0,no,yes,cellular,7.0,7,60.0,4.0,-1.0,0.0,unknown,no,2022
35.0,blue-collar,single,primary,no,293.0,yes,no,,30.0,5,521.0,2.0,-1.0,0.0,unknown,no,2022
38.0,admin.,married,secondary,no,424.0,yes,no,cellular,17.0,4,279.0,1.0,-1.0,0.0,unknown,no,2022
34.0,blue-collar,married,secondary,no,1831.0,yes,no,,20.0,5,203.0,2.0,-1.0,0.0,unknown,no,2022
39.0,blue-collar,married,primary,no,111.0,no,no,cellular,18.0,11,201.0,2.0,-1.0,0.0,unknown,no,2022
34.0,blue-collar,married,primary,no,455.0,yes,no,,20.0,6,372.0,3.0,-1.0,0.0,unknown,no,2022
27.0,services,single,secondary,no,-195.0,yes,no,cellular,18.0,5,391.0,1.0,-1.0,0.0,unknown,yes,2022
32.0,management,single,tertiary,no,3616.0,no,no,cellular,14.0,8,165.0,2.0,-1.0,0.0,unknown,no,2022
57.0,blue-collar,married,secondary,no,14093.0,no,no,cellular,11.0,8,231.0,5.0,-1.0,0.0,unknown,no,2022
41.0,,single,tertiary,no,1567.0,no,no,cellular,1.0,7,291.0,2.0,-1.0,0.0,unknown,no,2022
41.0,admin.,married,tertiary,no,5426.0,yes,no,,14.0,5,149.0,2.0,-1.0,0.0,unknown,no,2022
30.0,admin.,single,tertiary,no,261.0,no,no,cellular,19.0,10,233.0,1.0,137.0,20.0,failure,no,2022
36.0,blue-collar,divorced,secondary,no,2843.0,no,no,cellular,12.0,2,473.0,1.0,182.0,1.0,success,no,2022
31.0,unemployed,single,primary,no,406.0,no,no,cellular,4.0,2,736.0,1.0,-1.0,0.0,unknown,yes,2022
36.0,blue-collar,married,secondary,no,0.0,yes,no,,6.0,5,337.0,1.0,-1.0,0.0,unknown,no,2022
38.0,management,single,tertiary,no,493.0,yes,no,cellular,11.0,5,553.0,1.0,367.0,7.0,failure,no,2022
49.0,technician,married,secondary,no,5996.0,no,no,telephone,21.0,11,345.0,2.0,-1.0,0.0,unknown,no,2022
57.0,services,single,primary,no,3777.0,yes,no,telephone,13.0,5,65.0,2.0,-1.0,0.0,unknown,no,2022
34.0,management,single,secondary,no,524.0,no,no,,13.0,8,9.0,1.0,,0.0,unknown,no,2022
32.0,management,single,tertiary,no,574.0,yes,no,cellular,14.0,4,259.0,2.0,145.0,3.0,failure,no,2022
37.0,blue-collar,married,secondary,no,427.0,yes,yes,,9.0,6,371.0,3.0,-1.0,0.0,unknown,no,2022
33.0,self-employed,married,tertiary,no,483.0,yes,no,cellular,3.0,2,280.0,2.0,-1.0,0.0,unknown,no,2022
56.0,unemployed,married,primary,no,3391.0,no,no,cellular,21.0,4,243.0,1.0,-1.0,0.0,unknown,yes,2022
27.0,housemaid,married,primary,no,0.0,yes,no,cellular,23.0,7,435.0,3.0,-1.0,0.0,unknown,no,2022
21.0,student,single,secondary,no,2488.0,no,no,cellular,30.0,6,258.0,6.0,169.0,3.0,success,yes,2022
58.0,management,married,tertiary,no,1517.0,yes,no,telephone,29.0,7,7.0,5.0,-1.0,0.0,unknown,no,2022
32.0,self-employed,married,secondary,no,,yes,yes,cellular,15.0,7,317.0,5.0,-1.0,0.0,unknown,no,2022
33.0,blue-collar,single,secondary,no,22.0,no,no,cellular,30.0,1,76.0,2.0,207.0,1.0,failure,no,2022
25.0,student,single,secondary,no,331.0,no,no,telephone,26.0,8,170.0,4.0,-1.0,0.0,unknown,yes,2022
25.0,technician,single,secondary,no,505.0,no,yes,cellular,17.0,11,386.0,2.0,-1.0,0.0,unknown,yes,2022
30.0,services,married,secondary,no,1808.0,yes,no,cellular,18.0,5,83.0,2.0,-1.0,0.0,unknown,no,2022
22.0,admin.,single,secondary,no,4111.0,no,yes,cellular,19.0,8,65.0,1.0,-1.0,0.0,unknown,no,2022
39.0,blue-collar,married,primary,no,52.0,no,no,cellular,13.0,8,69.0,1.0,-1.0,0.0,unknown,no,2022
46.0,management,divorced,tertiary,no,25.0,no,no,,17.0,6,564.0,2.0,-1.0,0.0,unknown,no,2022
31.0,admin.,divorced,secondary,no,1890.0,yes,no,cellular,21.0,7,588.0,1.0,-1.0,0.0,unknown,no,2022
45.0,blue-collar,married,primary,no,419.0,no,no,cellular,18.0,8,113.0,4.0,-1.0,0.0,unknown,no,2022
32.0,technician,married,secondary,no,2693.0,yes,no,,21.0,5,16.0,1.0,-1.0,0.0,unknown,no,2022
36.0,blue-collar,married,secondary,no,-231.0,no,yes,cellular,15.0,7,779.0,2.0,-1.0,0.0,unknown,no,2022
51.0,management,single,tertiary,yes,-55.0,yes,no,cellular,11.0,5,281.0,2.0,266.0,6.0,failure,no,2022
34.0,self-employed,single,tertiary,no,462.0,no,no,cellular,21.0,8,1877.0,3.0,-1.0,0.0,unknown,yes,2022
24.0,unemployed,single,secondary,no,119.0,no,no,,15.0,9,51.0,1.0,-1.0,0.0,unknown,no,2022
45.0,technician,single,secondary,no,586.0,no,yes,cellular,28.0,7,32.0,3.0,-1.0,0.0,unknown,no,2022
32.0,blue-collar,single,secondary,no,228.0,no,no,telephone,5.0,2,176.0,1.0,288.0,3.0,failure,no,2022
77.0,retired,divorced,tertiary,no,4659.0,no,no,cellular,14.0,4,161.0,1.0,-1.0,0.0,unknown,yes,2022
41.0,blue-collar,married,primary,no,168.0,yes,no,cellular,18.0,11,187.0,3.0,-1.0,0.0,unknown,no,2022
37.0,blue-collar,married,primary,no,0.0,yes,no,,26.0,5,24.0,1.0,-1.0,0.0,unknown,no,2022
43.0,blue-collar,married,unknown,yes,-715.0,yes,no,,30.0,5,67.0,3.0,-1.0,0.0,unknown,no,2022
48.0,admin.,married,unknown,no,0.0,yes,no,cellular,8.0,5,85.0,1.0,168.0,2.0,failure,no,2022
27.0,technician,single,secondary,no,769.0,yes,no,,9.0,5,317.0,2.0,-1.0,0.0,unknown,no,2022
33.0,management,single,tertiary,no,0.0,no,no,cellular,28.0,8,236.0,10.0,-1.0,0.0,unknown,no,2022
29.0,admin.,single,secondary,no,428.0,yes,yes,cellular,7.0,5,54.0,1.0,345.0,2.0,failure,no,2022
34.0,management,single,tertiary,no,0.0,no,no,cellular,5.0,2,71.0,1.0,-1.0,0.0,unknown,no,2022
52.0,management,married,tertiary,no,-970.0,yes,no,cellular,4.0,2,489.0,1.0,-1.0,0.0,unknown,yes,2022
60.0,management,married,unknown,no,6313.0,no,no,,19.0,6,39.0,2.0,-1.0,0.0,unknown,no,2022
32.0,management,divorced,tertiary,no,948.0,no,no,cellular,12.0,8,204.0,2.0,-1.0,0.0,unknown,no,2022
32.0,management,single,tertiary,no,0.0,yes,no,cellular,22.0,7,455.0,2.0,-1.0,0.0,unknown,no,2022
56.0,services,divorced,unknown,no,1877.0,yes,no,,30.0,5,86.0,1.0,-1.0,0.0,unknown,no,2022
31.0,management,single,tertiary,no,874.0,yes,no,cellular,18.0,11,190.0,2.0,-1.0,0.0,unknown,no,2022
42.0,admin.,married,secondary,no,323.0,yes,yes,,8.0,5,280.0,2.0,-1.0,0.0,unknown,no,2022
35.0,management,married,tertiary,no,106.0,no,yes,cellular,11.0,8,588.0,2.0,-1.0,0.0,unknown,no,2022
56.0,retired,married,primary,no,1906.0,no,yes,,19.0,6,45.0,9.0,-1.0,0.0,unknown,no,2022
48.0,technician,married,secondary,no,1152.0,yes,no,cellular,21.0,7,168.0,5.0,-1.0,0.0,unknown,no,2022
46.0,admin.,married,secondary,no,179.0,yes,no,cellular,29.0,1,194.0,4.0,436.0,1.0,other,no,2022
37.0,technician,single,unknown,no,391.0,yes,no,,8.0,5,103.0,3.0,-1.0,0.0,unknown,no,2022
41.0,entrepreneur,married,unknown,no,89.0,yes,no,,6.0,5,333.0,2.0,-1.0,0.0,unknown,no,2022
36.0,management,single,tertiary,no,442.0,yes,yes,cellular,29.0,7,102.0,3.0,-1.0,0.0,unknown,no,2022
45.0,unemployed,divorced,primary,yes,-249.0,yes,yes,,1.0,7,92.0,1.0,-1.0,0.0,unknown,no,2022
55.0,entrepreneur,married,secondary,no,8104.0,no,no,cellular,6.0,2,213.0,2.0,-1.0,0.0,unknown,no,2022
39.0,technician,married,secondary,no,501.0,no,no,,26.0,5,289.0,1.0,-1.0,0.0,unknown,no,2022
35.0,technician,divorced,secondary,no,308.0,no,no,cellular,22.0,8,77.0,2.0,-1.0,0.0,unknown,no,2022
55.0,admin.,married,secondary,no,602.0,no,no,cellular,1.0,6,324.0,3.0,90.0,2.0,success,yes,2022
55.0,technician,married,secondary,no,273.0,yes,no,cellular,29.0,1,84.0,3.0,183.0,3.0,failure,no,2022
27.0,self-employed,single,secondary,no,50.0,no,no,cellular,29.0,1,168.0,1.0,-1.0,0.0,unknown,no,2022
34.0,technician,married,secondary,no,,yes,no,cellular,17.0,4,380.0,1.0,-1.0,0.0,unknown,no,2022
34.0,blue-collar,married,tertiary,no,20.0,no,no,,4.0,10,10.0,1.0,-1.0,0.0,unknown,no,2022
25.0,admin.,single,secondary,no,4590.0,yes,no,,28.0,5,199.0,2.0,-1.0,0.0,unknown,no,2022
41.0,admin.,single,secondary,no,-256.0,no,yes,,9.0,5,35.0,3.0,-1.0,0.0,unknown,no,2022
43.0,services,married,secondary,no,,yes,yes,,26.0,5,82.0,2.0,-1.0,0.0,unknown,no,2022
28.0,management,single,tertiary,no,80.0,no,no,cellular,20.0,10,676.0,2.0,146.0,2.0,failure,yes,2022
31.0,admin.,single,secondary,no,2104.0,yes,no,,3.0,6,455.0,1.0,-1.0,0.0,unknown,no,2022
78.0,housemaid,married,secondary,no,499.0,no,no,telephone,16.0,3,80.0,4.0,-1.0,0.0,unknown,no,2022
45.0,blue-collar,divorced,secondary,no,1269.0,yes,no,cellular,29.0,1,549.0,2.0,-1.0,0.0,unknown,no,2022
48.0,technician,married,tertiary,no,310.0,no,no,,6.0,5,135.0,1.0,-1.0,0.0,unknown,no,2022
32.0,blue-collar,single,secondary,no,1143.0,yes,yes,cellular,10.0,7,412.0,1.0,-1.0,0.0,unknown,no,2022
42.0,technician,married,secondary,no,2980.0,no,no,,20.0,6,101.0,3.0,-1.0,0.0,unknown,no,2022
37.0,management,single,tertiary,no,37.0,no,no,cellular,28.0,1,253.0,2.0,-1.0,0.0,unknown,no,2022
40.0,admin.,single,secondary,no,462.0,yes,yes,cellular,6.0,4,272.0,1.0,335.0,4.0,other,no,2022
32.0,admin.,married,secondary,no,1031.0,yes,no,cellular,17.0,7,84.0,1.0,-1.0,0.0,unknown,no,2022
42.0,management,married,tertiary,no,9009.0,no,no,cellular,20.0,11,135.0,2.0,-1.0,0.0,unknown,no,2022
43.0,admin.,married,secondary,no,-465.0,yes,yes,cellular,23.0,7,166.0,1.0,-1.0,0.0,unknown,no,2022
44.0,admin.,married,secondary,no,5181.0,yes,yes,cellular,31.0,7,18.0,7.0,-1.0,0.0,unknown,no,2022
37.0,admin.,married,secondary,no,176.0,yes,no,cellular,5.0,5,147.0,2.0,347.0,1.0,failure,no,2022
37.0,,married,unknown,no,1699.0,no,no,,9.0,6,63.0,1.0,-1.0,0.0,unknown,no,2022
37.0,admin.,married,tertiary,no,0.0,yes,no,cellular,17.0,11,65.0,2.0,119.0,1.0,failure,no,2022
28.0,technician,single,tertiary,no,172.0,yes,yes,cellular,2.0,2,194.0,2.0,-1.0,0.0,unknown,no,2022
32.0,services,single,secondary,no,0.0,no,yes,cellular,11.0,7,333.0,2.0,-1.0,0.0,unknown,no,2022
34.0,admin.,single,secondary,no,6979.0,yes,no,cellular,15.0,5,14.0,5.0,-1.0,0.0,unknown,no,2022
40.0,admin.,divorced,secondary,no,6.0,no,no,,11.0,6,140.0,1.0,-1.0,0.0,unknown,no,2022
34.0,services,married,secondary,no,-62.0,yes,no,,16.0,6,109.0,3.0,-1.0,0.0,unknown,no,2022
34.0,self-employed,married,tertiary,no,1972.0,yes,no,cellular,23.0,7,61.0,2.0,-1.0,0.0,unknown,no,2022
34.0,admin.,married,tertiary,no,899.0,yes,no,telephone,19.0,11,377.0,3.0,7.0,4.0,success,no,2022
37.0,services,single,secondary,no,21.0,yes,no,cellular,2.0,2,96.0,1.0,271.0,2.0,other,no,2022
36.0,technician,married,secondary,no,23.0,yes,no,cellular,8.0,5,152.0,2.0,347.0,1.0,failure,no,2022
56.0,retired,married,secondary,no,-1206.0,yes,no,cellular,15.0,6,382.0,2.0,-1.0,0.0,unknown,yes,2022
49.0,blue-collar,married,primary,no,0.0,yes,yes,telephone,23.0,7,97.0,6.0,-1.0,0.0,unknown,no,2022
33.0,self-employed,married,secondary,no,215.0,yes,no,cellular,29.0,7,543.0,12.0,-1.0,0.0,unknown,no,2022
30.0,management,single,tertiary,no,1372.0,no,no,cellular,20.0,11,240.0,2.0,-1.0,0.0,unknown,no,2022
36.0,services,married,secondary,no,1981.0,no,no,,17.0,6,48.0,2.0,-1.0,0.0,unknown,no,2022
23.0,student,single,secondary,no,9216.0,no,no,cellular,5.0,6,471.0,2.0,-1.0,0.0,unknown,no,2022
57.0,retired,divorced,secondary,no,39.0,yes,no,cellular,30.0,7,354.0,3.0,-1.0,0.0,unknown,no,2022
27.0,blue-collar,single,secondary,no,5563.0,yes,no,,30.0,5,435.0,2.0,-1.0,0.0,unknown,no,2022
38.0,services,married,secondary,no,1.0,no,yes,cellular,21.0,11,152.0,2.0,-1.0,0.0,unknown,no,2022
42.0,technician,married,tertiary,no,782.0,no,no,cellular,3.0,4,285.0,1.0,-1.0,0.0,unknown,no,2022
75.0,retired,married,secondary,no,3771.0,no,no,telephone,15.0,4,185.0,1.0,181.0,2.0,success,yes,2022
34.0,technician,single,tertiary,no,992.0,yes,no,cellular,4.0,5,301.0,1.0,88.0,2.0,success,no,2022
48.0,technician,married,secondary,no,1526.0,no,no,cellular,6.0,8,273.0,2.0,-1.0,0.0,unknown,no,2022
35.0,technician,single,tertiary,no,2658.0,yes,no,cellular,19.0,8,768.0,2.0,141.0,3.0,failure,yes,2022
39.0,management,divorced,tertiary,no,1315.0,yes,no,cellular,19.0,11,1337.0,4.0,126.0,1.0,failure,no,2022
29.0,blue-collar,single,tertiary,no,455.0,no,no,telephone,21.0,4,403.0,1.0,-1.0,0.0,unknown,yes,2022
45.0,technician,single,tertiary,no,0.0,yes,no,cellular,18.0,11,139.0,2.0,-1.0,0.0,unknown,no,2022
42.0,technician,married,secondary,no,2030.0,yes,yes,cellular,9.0,7,196.0,1.0,-1.0,0.0,unknown,no,2022
29.0,technician,married,secondary,no,1599.0,yes,no,cellular,8.0,7,115.0,1.0,61.0,1.0,failure,no,2022
38.0,services,single,secondary,no,-196.0,yes,no,cellular,2.0,2,60.0,1.0,271.0,1.0,failure,no,2022
56.0,retired,married,secondary,no,1333.0,no,no,cellular,28.0,8,17.0,14.0,-1.0,0.0,unknown,no,2022
36.0,technician,single,secondary,no,9149.0,yes,no,cellular,13.0,8,141.0,3.0,-1.0,0.0,unknown,no,2022
25.0,blue-collar,single,secondary,no,-350.0,yes,no,,23.0,6,95.0,3.0,-1.0,0.0,unknown,no,2022
38.0,technician,married,tertiary,no,432.0,yes,no,cellular,15.0,5,10.0,2.0,373.0,1.0,other,no,2022
57.0,self-employed,married,secondary,no,11494.0,no,no,cellular,19.0,11,198.0,1.0,-1.0,0.0,unknown,no,2022
31.0,management,married,tertiary,yes,-253.0,no,no,cellular,12.0,8,220.0,4.0,-1.0,0.0,unknown,no,2022
42.0,management,married,tertiary,no,372.0,yes,no,cellular,3.0,8,654.0,2.0,-1.0,0.0,unknown,yes,2022
45.0,technician,married,secondary,no,1410.0,no,no,cellular,11.0,8,71.0,2.0,-1.0,0.0,unknown,no,2022
30.0,blue-collar,married,secondary,no,975.0,yes,no,cellular,13.0,5,256.0,2.0,351.0,2.0,failure,no,2022
49.0,blue-collar,married,primary,no,305.0,yes,yes,telephone,10.0,7,834.0,10.0,-1.0,0.0,unknown,no,2022
49.0,services,married,secondary,no,400.0,no,no,cellular,21.0,8,151.0,3.0,-1.0,0.0,unknown,no,2022
53.0,retired,married,tertiary,no,-22.0,yes,no,cellular,31.0,7,20.0,3.0,-1.0,0.0,unknown,no,2022
37.0,technician,married,secondary,no,4030.0,yes,no,,26.0,5,178.0,5.0,-1.0,0.0,unknown,no,2022
49.0,blue-collar,married,primary,no,365.0,no,no,,26.0,5,59.0,2.0,-1.0,0.0,unknown,no,2022
41.0,self-employed,married,primary,no,204.0,no,no,cellular,13.0,8,111.0,7.0,-1.0,0.0,unknown,no,2022
54.0,management,married,primary,no,1691.0,yes,no,cellular,20.0,11,186.0,1.0,,0.0,unknown,no,2022
32.0,services,single,secondary,no,406.0,yes,no,,6.0,5,227.0,1.0,-1.0,0.0,unknown,no,2022
33.0,technician,married,secondary,no,-204.0,no,no,cellular,15.0,5,297.0,3.0,-1.0,0.0,unknown,no,2022
33.0,technician,married,secondary,no,359.0,yes,no,cellular,20.0,4,210.0,1.0,242.0,1.0,other,no,2022
36.0,blue-collar,married,primary,no,123.0,yes,no,cellular,18.0,5,9.0,1.0,-1.0,0.0,unknown,no,2022
35.0,technician,married,tertiary,no,0.0,yes,yes,cellular,23.0,9,112.0,1.0,62.0,6.0,other,no,2022
52.0,,married,secondary,no,142.0,no,no,cellular,25.0,8,112.0,6.0,-1.0,0.0,unknown,no,2022
